VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type


2,2017-01-12 18:59:31,2017-01-12 19:16:45,N,1,167,94,1,2.83,13.5,1,0.5,0,0,,0.3,15.3,2,1
2,2017-01-09 17:42:26,2017-01-09 17:48:07,N,1,82,83,1,1.15,6,1,0.5,0,0,,0.3,7.8,2,1
1,2017-01-07 02:47:05,2017-01-07 02:51:41,N,1,17,97,1,1.10,5.5,0.5,0.5,1.35,0,,0.3,8.15,1,1
2,2017-01-27 20:21:19,2017-01-27 20:30:40,N,1,179,223,6,1.23,7.5,0.5,0.5,1,0,,0.3,9.8,1,1
2,2017-01-26 20:49:56,2017-01-26 21:01:35,N,1,33,231,1,2.02,10,0.5,0.5,1.7,0,,0.3,13,1,1
2,2017-01-02 14:39:45,2017-01-02 15:01:48,N,1,92,7,1,5.37,20,0,0.5,5.2,0,,0.3,26,1,1
2,2017-01-31 08:00:39,2017-01-31 08:07:19,N,1,42,75,1,1.09,6.5,0,0.5,1,0,,0.3,8.3,1,1
1,2017-01-31 08:55:55,2017-01-31 09:04:00,N,1,82,95,1,1.30,7.5,0,0.5,0,0,,0.3,8.3,2,1
2,2017-01-23 22:12:29,2017-01-23 22:59:20,N,1,97,244,1,12.78,42,0.5,0.5,8.66,0,,0.3,51.96,1,1
2,2017-01-27 13:18:06,2017-01-27 13:25:25,N,1,168,42,2,.96,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2017-01-04 07:53:39,2017-01-04 08:25:34,N,1,247,236,1,3.76,20.5,0,0.5,6,0,,0.3,27.3,1,1
2,2017-01-26 15:58:32,2017-01-26 16:04:39,N,1,41,74,1,1.05,6,1,0.5,1.95,0,,0.3,9.75,1,1
2,2017-01-05 13:03:40,2017-01-05 13:06:23,N,1,75,75,2,.49,4,0,0.5,0,0,,0.3,4.8,2,1
1,2017-01-12 21:04:28,2017-01-12 21:08:52,N,1,41,41,1,.70,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-01-11 15:05:01,2017-01-11 15:16:51,N,1,82,129,5,1.00,8.5,0,0.5,0,0,,0.3,9.3,2,1
1,2017-01-04 21:50:45,2017-01-04 21:53:13,N,1,41,74,1,.40,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-01-30 19:39:11,2017-01-30 19:43:47,N,1,82,129,1,.60,5,1,0.5,1.36,0,,0.3,8.16,1,1
2,2017-01-06 01:14:51,2017-01-06 01:27:00,N,1,62,66,2,2.99,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2017-01-01 02:53:54,2017-01-01 02:54:00,N,5,244,244,1,.00,10,0,0,2,0,,0,12,1,2
1,2017-01-05 18:39:17,2017-01-05 18:44:21,N,1,112,255,1,.80,5.5,1,0.5,0,0,,0.3,7.3,2,1
2,2017-01-28 04:08:39,2017-01-28 04:26:03,N,1,17,76,1,4.64,16.5,0.5,0.5,0,0,,0.3,17.8,2,1
