VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount


1,2017-01-09 11:52:13,2017-01-09 11:57:36,1,1.10,1,N,236,75,1,6,0,0.5,1.7,0,0.3,8.5
2,2017-01-01 07:28:04,2017-01-01 07:55:11,3,18.55,2,N,125,132,1,52,0,0.5,0,0,0.3,52.8
2,2017-01-01 07:16:47,2017-01-01 07:21:49,6,1.90,1,N,234,163,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 07:03:56,2017-01-01 07:18:01,1,6.28,1,N,74,234,1,20,0,0.5,2,0,0.3,22.8
1,2017-01-01 07:20:24,2017-01-01 07:23:27,1,.80,1,N,262,236,1,5,0,0.5,1,0,0.3,6.8
1,2017-01-01 07:12:33,2017-01-01 07:20:53,1,3.10,1,N,229,7,1,11,0,0.5,2.35,0,0.3,14.15
1,2017-01-01 07:09:01,2017-01-01 07:19:33,1,2.00,1,N,161,186,2,9.5,0,0.5,0,0,0.3,10.3
2,2017-01-01 06:56:36,2017-01-01 07:01:23,2,1.19,1,N,90,170,1,6,0,0.5,1,0,0.3,7.8
2,2017-01-01 07:22:42,2017-01-01 07:34:48,1,3.90,1,N,7,237,1,13.5,0,0.5,2.86,0,0.3,17.16
2,2017-01-01 07:26:22,2017-01-01 07:32:21,1,1.86,1,N,229,262,2,7.5,0,0.5,0,0,0.3,8.3
2,2017-01-01 07:06:52,2017-01-01 07:07:06,1,.02,1,N,186,164,2,2.5,0,0.5,0,0,0.3,3.3
1,2017-01-01 07:29:26,2017-01-01 07:36:03,1,1.30,1,N,48,162,2,7,0,0.5,0,0,0.3,7.8
1,2017-01-01 07:31:04,2017-01-01 07:39:15,1,1.70,1,N,186,50,1,8,0,0.5,2.2,0,0.3,11
1,2017-01-01 07:05:26,2017-01-01 07:05:35,1,2.60,1,N,163,163,3,2.5,0,0.5,0,0,0.3,3.3
1,2017-01-01 07:27:21,2017-01-01 07:30:58,1,1.10,1,N,264,264,2,5.5,0,0.5,0,0,0.3,6.3
1,2017-01-01 07:27:51,2017-01-01 07:52:24,3,12.50,1,N,234,127,2,36,0,0.5,0,0,0.3,36.8
1,2017-01-01 07:09:41,2017-01-01 07:25:10,1,4.80,1,N,162,166,1,16,0,0.5,1,0,0.3,17.8
2,2017-01-01 07:22:42,2017-01-01 07:48:46,6,9.23,1,N,7,17,2,31,0,0.5,0,0,0.3,31.8
1,2017-01-01 07:36:07,2017-01-01 07:39:06,1,1.00,1,N,137,224,3,5,0,0.5,0,0,0.3,5.8
2,2017-01-01 07:30:17,2017-01-01 07:39:08,5,1.50,1,N,24,75,2,8,0,0.5,0,0,0.3,8.8
2,2017-01-01 07:18:53,2017-01-01 07:24:29,1,.99,1,N,68,48,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-01 06:54:44,2017-01-01 07:23:42,1,7.74,1,N,90,36,2,27,0,0.5,0,0,0.3,27.8
1,2017-01-01 07:25:57,2017-01-01 07:59:57,2,20.00,3,N,164,1,1,72,0,0,20,16.25,0.3,108.55
