ID,TEXTO
1054510166178234370,"En vez de yo también pondré #MeToo solo por el emoticón ese"
1054509910598320129,"RT @pedromozasrello: Gran duelo interpretativo de Close y Pryce. Nunca es tarde para alzar la voz. Lo malo es que, en estos tiempos del #Me…"
1054509150447824903,"RT @merthGar: 😢
Estoy llorando, no puedo con esto. 
#MeToo 
¿A los hombres también les pasa eso? https://t.co/HWOlZkruWq"
1054508516180979713,"RT @decimeay: Y en la UNA persisten los hechos de acoso y otras formas de violencia hacia las mujeres... Con total impunidad se persigue a…"
1054507599977201664,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054506757370904576,"#feminista promedio en un día cualquiera. https://t.co/2YYMyNMQST"
1054503267269558272,"Animo a todas las profesionales que lo sufren a tomar medidas, a dar visibilidad. No solo se nos desacredita person… https://t.co/hGFwc4tDKL"
1054501716278808578,"El #MeToo llega a Fisioterapia: "Me han pedido 'final feliz' varias veces" https://t.co/NaG5RyaDFX"
1054501611668680704,"En #Gijon estamos de suerte!! #feminista
https://t.co/mq9ofTabjX"
1054498309426106369,"Nunca subestimes a una mujer...
#Feminism #Feminista #GirlPower 💪💪✌️✌️😽😽"
1054494597798354944,"RT @mov_jupsin: Así es #NsawyaFM, la #emisoraclandestina que combate la #represión #machista en #ArabiaSaudí: 'Somos la mayoría silenciosa'…"
1054493526329905152,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054492070474366976,"RT @pacodamas: @pacodamas  canta junto a la @Shicaboom el poema !Ya! de #MaríaZambrano en su disco #LasSinsombrero . Un canto y un poema qu…"
1054490704670547968,"RT @libertaria_2: A q hora son las manifestaciones contra esta nueva agresion sexual?

Dónde están la del #MeToo ?
Dónde están las feminazi…"
1054487584888578048,"Movimiento #MeToo, un aliado contra el acoso sexual en la India https://t.co/FBJqaTFr9h https://t.co/q32euDtybi"
1054485537862627329,"RT @fisioterricola: Más vale tarde...Historias fisioterápicas: #metoo https://t.co/UhIagbK0w6"
1054485100832964609,"Las falsedades del movimiento #Metoo, o el negocio de hacerte la víctima, https://t.co/iYpeKa26mp"
1054483883402629121,"RT @GusMunita: #Feminista en estado puro. #Abortera en estado puro.
Una Pelotuda en pocas plabras. Ojo!! Esta gente vota! https://t.co/q1YV…"
