ID,TEXTO
1057658494868996096,"@HernanColli en el #62CongresoPorto de la @UnionIntAvocats informando sobre el Plan de acción por la #IgualdaddeGenero en el @calp_oficial https://t.co/hp26UByZN4"
1057658352937906178,"Altar a la #mujer en #Puebla #NiUnaMás se encuentra en palacio municipal...#felizmiércoles ... en Ayuntamiento de Puebla https://t.co/DJiose9Yeo"
1057658190266073088,"To. @AnaBotin #Feminismo Cosas que suceden en democracia en una cámara de representación. https://t.co/RNt9uJkV6m"
1057658071852421120,"La izquierda que dice ser el partido de las mujeres y #feminismo , pero a una niña de 13 años, como Leonor , la insultan, la desprecian y le desean su muerte. 

la #república, siempre fuera de la ley"
1057657693069078528,"El escritor @EdgarBorges7 publica #LaNiñaDelSalto en Italia https://t.co/Hvm2oWiRlC vía @diario_16 @CarenaEdiciones @musicaosed #sororidad #Machismo"
1057657612391596032,"@Supera_Lo @monroeyfrida @Isabellarulis @amarielgg @pau_liiina @Olgavillalobosa @margotaguila @Super_Agente99 @FafuC @fedoraletelier @VeronicG__ Yo tb Lo 😂😂😂😂 xq es más #Femenina 😜 
👉Ojo q NO es lo mismo que #Feminista 🤣🤣"
1057657593433391107,"El #Feminismo será antirracista o no será. https://t.co/FplEk7ulkw"
1057657584109404160,"Integran la Comisión para la #IgualdaddeGénero las senadoras @in_dei @kenialopezr @Nadia_NavarroA @mtra_lupita Blanca Piña y @Nuvia_Mayorga . Nuestra Secretaria Alejandra León Gastelum https://t.co/xttf0F9pbA"
1057657313824256000,"#Día de la #Igualdad #Salarial 2018

https://t.co/QhBjUJaIb3 https://t.co/wY1r8c5nTS"
1057657217279770624,"Guía para comenzar a correr saludablemente https://t.co/jPTKvrVMjv https://t.co/B4gXBUT9s3 #Mujer"
1057657174871207937,"Le vengo ofreciendo, más que nada 🤣 la colección de prendas antiguas de ciclo.curaduriatextil.                        Muy buenos precios!!                                  #ropa #mujer… https://t.co/CIqXCZssus"
1057656635940921346,"☕️🍩 Mañana bien aprovechada!
Gracias @NuriaChinchilla por el primer #IWiLBreakfast @iese_IWil del curso @iese_esp 🙏
Siempre trayendo a #mujeres precursoras!
Inspiradora Helena Herrero Presidenta de @HPEspana  
#Plusvàlua #dones #radio #mujer #mujeres #dona #mireiadelpozo https://t.co/Zj2ONhahOE"
1057656140819914752,"El sueldo de esta Chantada sale de nuestros impuestos #BuenMiercoles e #igualdad mis testículos https://t.co/r48vMk6L14"
1057656043348639744,"Desigualdad y sometimiento: la mujer en el mundo de hoy. #Mujer #8M #Feminismo #Psicología https://t.co/aVeEA1swr3"
1057655925144727555,"#Seguridad Vinculan a proceso a #mujer que defraudó mediante “el telar de la abundancia” https://t.co/7uu2xzq6fZ"
1057655533187010561,"Lydia Cacho @lydiacachosi: “El #machismo es una trampa que legaliza lo inaceptable”. En la inauguración del #Foro16 #Feminismo16, en Sevilla. @Cajasol, el ágora de la lucha por la defensa de la #igualdad real. https://t.co/WYhOBEIZe5 @diario_16 @joseangomhern @D16MdominguezM"
1057655512559468544,"Lydia Cacho @lydiacachosi: “El #machismo es una trampa que legaliza lo inaceptable”. En la inauguración del #Foro16 #Feminismo16, en Sevilla. @Cajasol, el ágora de la lucha por la defensa de la #igualdad real. https://t.co/rospODao74 @diario_16 @joseangomhern @D16MdominguezM"
1057655491646627841,"Lydia Cacho @lydiacachosi: “El #machismo es una trampa que legaliza lo inaceptable”. En la inauguración del #Foro16 #Feminismo16, en Sevilla. @Cajasol, el ágora de la lucha por la defensa de la #igualdad real. https://t.co/hV48WnzZC7 @diario_16 @joseangomhern @D16MdominguezM"
1057655490497404928,"Lydia Cacho @lydiacachosi: “El #machismo es una trampa que legaliza lo inaceptable”. En la inauguración del #Foro16 #Feminismo16, en Sevilla. @Cajasol, el ágora de la lucha por la defensa de la #igualdad real. https://t.co/C7O8LTMEcI @diario_16 @joseangomhern @D16MdominguezM https://t.co/xlV6TJdlgd"
1057655275904212993,"Comparto la nueva entrada del blog de @monitoramericas sobre un tema muy complejo de manejar como individuos y como integrantes de una organización: ¿qué hacer frente a una denuncia por acoso sexual?
#metoo #reputacion #Crisis
https://t.co/YuvDwzcqPq https://t.co/FcNRyxCgGx"
1057655171759640577,"Lydia Cacho @lydiacachosi: “El #machismo es una trampa que legaliza lo inaceptable”. En la inauguración del #Foro16 #Feminismo16, en Sevilla. @Cajasol, el ágora de la lucha por la defensa de la #igualdad real. https://t.co/C7O8LTMEcI vía @diario_16 @joseangomhern @D16MdominguezM https://t.co/kc98aBcxy5"
1057654894017085440,"Las senadoras integrantes de la Comisión para la #IgualdadDeGenero aprobó iluminar de naranja el edificio del @senadomexicano con motivo del Día Internacional para Eliminar la Violencia contra las #Mujeres (1/2)"
1057654875788578822,"Partisan divide on #MeToo https://t.co/kuJ28XmJjq"
